ID,Station,Degree,Eccentricity,Closeness,Betweenness
186,Puento de Vallecas,2,31,0.0820844686648501,0.0874827109266943
187,Puerta de Arganda,2,38,0.0556967876126646,0.0408022130013831
188,Puerta de Toledo,2,25,0.0845614035087719,0.0239015881248765
189,Puerta del Ángel,2,23,0.0949192595510043,0.0435940278601067
190,Puerta del Sur,3,30,0.0649770827716365,0.2027143845089903
191,Quevedo,2,25,0.0982470444353852,0.020363070539419
192,Quintana,2,31,0.0850988700564971,0.0499049100968188
193,República Argentina,2,28,0.1023789294817332,0.066907561088059
194,Retiro,2,27,0.098087098087098,0.0286596107615298
195,Reyes Católicos,2,43,0.0418620809449366,0.0082987551867219
196,Ríos Rosas,2,27,0.0953322784810126,0.0058200783771323
197,Rivas Futura,2,40,0.0502816607552681,0.0246887966804979
198,Rivas Vaciamadrid,2,41,0.0479220520978325,0.0165283540802213
199,Ronda de la Comunicación,2,37,0.0552879100711172,0.0566390041493775
200,Ruben Darío,2,26,0.105562855891371,0.0396312345158299
201,Sainz de Baranda,4,30,0.0947699567440031,0.2107728833234535
202,San Bernando,4,24,0.1014736842105263,0.0387166979516564
203,San Blas,2,35,0.0640616693248272,0.0721991701244813
204,San Cipriano,2,37,0.0588235294117647,0.0487551867219917
205,San Cristóbal,2,35,0.0556839186691312,0.0082987551867219
206,San Fermín-Orcasur,2,32,0.0665745856353591,0.0327800829875518
207,San Fernando,2,41,0.046923676012461,0.0246887966804979
208,San Francisco,2,32,0.0619537275064267,0.0246887966804979
209,San Lorenzo,2,31,0.0774172823642788,0.0194029506685108
210,San Nicasio,2,31,0.061432577109355,0.0954183955739972
211,Santiago Bernabéu,2,28,0.0972558514931396,0.1644732595666204
212,Santo Domingo,2,24,0.0946582875098193,0.0045895766098048
213,Serrano,2,27,0.0953700039572615,0.0064044902193242
214,Sevilla,2,25,0.0970209339774557,0.0276856596319771
215,Sierra de Guadalupe,2,37,0.0562295846943537,0.0408022130013831
216,Simancas,2,34,0.0680790960451977,0.0798755186721991
217,Sol,6,24,0.102815699658703,0.1652844448370906
218,Suanzes,2,33,0.0719832735961768,0.0327800829875518
219,Tetuán,2,30,0.0803065644785071,0.0035200553250345
220,Tirso de Molina,2,25,0.0946582875098193,0.0451454752025292
221,Torre Arias,2,34,0.0672808486878838,0.0246887966804979
222,Tres Olivos,2,34,0.0653647952264713,0.0798755186721991
223,Tribunal,4,24,0.108314606741573,0.2288615641312735
224,Universidad Rey Juan Carlos,2,34,0.0527929901423877,0.0732192254495159
225,Urgel,2,29,0.0714285714285714,0.0066593393927418
226,Usera,2,29,0.0780187763030106,0.0621273998880326
227,Valdeacederas,2,31,0.07922419460881,0.002939142461964
228,Valdebernando,2,35,0.0661542684600604,0.0644536652835408
229,Valdecarros,1,42,0.0440907427735089,0.0
230,Valdezarza,2,29,0.079616782292699,0.0487551867219917
231,Velázquez,2,28,0.0934108527131783,0.0043994928538497
232,Ventas,4,29,0.0986895986895986,0.1002161134163208
233,Ventilla,2,31,0.0787067276290006,0.0327800829875518
234,Ventura Rodríguez,2,24,0.0965931863727454,0.0003764764319743
235,Vicálvaro,2,36,0.0622899974153528,0.0566390041493775
236,Vicente Aleixandre,2,26,0.0916001520334473,0.0280212655601659
237,Villa de Vallecas,2,38,0.0533421868083222,0.0327800829875518
238,Villaverde Alto,1,36,0.0527583187390542,0.0
239,Villaverde Bajo-Cruce,2,34,0.0589242053789731,0.0165283540802213
240,Vinateros,2,32,0.0809539805172993,0.0874827109266943
241,Vista Alegre,2,29,0.072263868065967,0.0254448231574787
