SourceID,TargetID,Source,Target,Line
50,49,Clapham North,Clapham Common,
49,51,Clapham Common,Clapham South,
51,10,Clapham South,Balham,
10,224,Balham,Tooting Bec,
224,225,Tooting Bec,Tooting Broadway,
225,54,Tooting Broadway,Colliers Wood,
54,205,Colliers Wood,South Wimbledon,
205,149,South Wimbledon,Morden,
105,228,High Barnet,Totteridge & Whetstone,
228,267,Totteridge & Whetstone,Woodside Park,
267,250,Woodside Park,West Finchley,
250,79,West Finchley,Finchley Central,
79,65,Finchley Central,East Finchley,
65,108,East Finchley,Highgate,
108,6,Highgate,Archway,
6,230,Archway,Tufnell Park,
230,122,Tufnell Park,Kentish Town,
122,35,Kentish Town,Camden Town,
75,126,Euston,King's Cross & St Pancras International,
126,5,King's Cross & St Pancras International,Angel,
5,166,Angel,Old Street,
166,148,Old Street,Moorgate,
148,11,Moorgate,Bank,
11,137,Bank,London Bridge,
137,25,London Bridge,Borough,
25,71,Borough,Elephant & Castle,
71,119,Elephant & Castle,Kennington,
79,145,Finchley Central,Mill Hill East,
237,109,Uxbridge,Hillingdon,Piccadilly
109,118,Hillingdon,Ickenham,
118,191,Ickenham,Ruislip,
191,193,Ruislip,Ruislip Manor,
193,68,Ruislip Manor,Eastcote,
68,184,Eastcote,Rayners Lane,
184,201,Rayners Lane,South Harrow,
201,219,South Harrow,Sudbury Hill,
219,220,Sudbury Hill,Sudbury Town,
220,3,Sudbury Town,Alperton,
3,171,Alperton,Park Royal,
171,155,Park Royal,North Ealing,
155,62,North Ealing,Ealing Common,
62,0,Ealing Common,Acton Town,
0,231,Acton Town,Turnham Green,
231,94,Turnham Green,Hammersmith,
94,15,Hammersmith,Barons Court,
15,63,Barons Court,Earl's Court,
63,84,Earl's Court,Gloucester Road,
84,128,Gloucester Road,Knightsbridge,
128,117,Knightsbridge,Hyde Park Corner,
117,90,Hyde Park Corner,Green Park,
90,174,Green Park,Piccadilly Circus,
174,133,Piccadilly Circus,Leicester Square,
133,55,Leicester Square,Covent Garden,
55,110,Covent Garden,Holborn,
110,194,Holborn,Russel Square,
194,126,Russel Square,King's Cross & St Pancras International,
126,34,King's Cross & St Pancras International,Caledonian Road,
34,112,Caledonian Road,Holloway Road,
112,8,Holloway Road,Arsenal,
8,81,Arsenal,Finsbury Park,
81,140,Finsbury Park,Manor House,
140,232,Manor House,Turnpike Lane,
232,264,Turnpike Lane,Wood Green,
264,27,Wood Green,Bounds Green,
27,7,Bounds Green,Arnos Grove,
7,208,Arnos Grove,Southgate,
208,165,Southgate,Oakwood,
