ID,Station,Degree,Eccentricity,Closeness,Betweenness
258,White City,2,28,0.079653937947494,0.0414165876614132
259,Whitechapel,2,24,0.0875984251968503,0.0052012052603418
260,Willesden Green,2,26,0.0866320571057754,0.0022528230689082
261,Willesden Junction,2,28,0.0740227335736068,0.0512517248176621
262,Wimbledon,1,32,0.055567117585848,0.0
263,Wimbledon Park,2,31,0.0588235294117647,0.0074906367041198
264,Wood Green,2,27,0.0718901453957996,0.0368899777533721
265,Wood Lane,2,29,0.0751054852320675,0.0061689805036936
266,Woodford,3,30,0.0612525808671713,0.0619385542507955
267,Woodside Park,2,31,0.0533253445176752,0.0149249528315169
